category_type,category_value,dispatches,share_of_all_rows_pct,share_of_recorded_rows_pct
relif_occurplc_type_raw,기타(상현역 역무실),1,0.0013,0.0017
relif_occurplc_type_raw,기타(상현역),1,0.0013,0.0017
relif_occurplc_type_raw,기타(생활도로),1,0.0013,0.0017
relif_occurplc_type_raw,기타(서둔동 상상캠퍼스),1,0.0013,0.0017
relif_occurplc_type_raw,기타(서부지구대),1,0.0013,0.0017
relif_occurplc_type_raw,기타(서비스센터 입구),1,0.0013,0.0017
relif_occurplc_type_raw,기타(서회복지센터),1,0.0013,0.0017
relif_occurplc_type_raw,기타(성군관대역),1,0.0013,0.0017
relif_occurplc_type_raw,기타(성균관대 역),1,0.0013,0.0017
relif_occurplc_type_raw,기타(성균관대),1,0.0013,0.0017
relif_occurplc_type_raw,기타(성균관대약),1,0.0013,0.0017
relif_occurplc_type_raw,기타(성우특장),1,0.0013,0.0017
relif_occurplc_type_raw,기타(세류동 성당),1,0.0013,0.0017
relif_occurplc_type_raw,기타(세류역 상행선),1,0.0013,0.0017
relif_occurplc_type_raw,기타(세무사사무실),1,0.0013,0.0017
relif_occurplc_type_raw,기타(세한교회),1,0.0013,0.0017
relif_occurplc_type_raw,기타(센트라우스아파트 단지 내),1,0.0013,0.0017
relif_occurplc_type_raw,기타(수목원),1,0.0013,0.0017
relif_occurplc_type_raw,기타(수성교회),1,0.0013,0.0017
relif_occurplc_type_raw,기타(수원 장안 경찰서),1,0.0013,0.0017
relif_occurplc_type_raw,기타(수원경찰서),1,0.0013,0.0017
relif_occurplc_type_raw,기타(수원고용복지센터),1,0.0013,0.0017
relif_occurplc_type_raw,기타(수원남부경찰서 정문),1,0.0013,0.0017
relif_occurplc_type_raw,기타(수원남부경찰서 주차장),1,0.0013,0.0017
relif_occurplc_type_raw,기타(수원남부소방서 남부119안전센터 앞),1,0.0013,0.0017
relif_occurplc_type_raw,기타(수원성교회),1,0.0013,0.0017
relif_occurplc_type_raw,기타(수원성빈센트병원),1,0.0013,0.0017
